run_id,phase,train_variant,eta0,lambda,successful,failure_reasons,complete,epochs_executed,early_stopped,early_stop_epoch,convergence_evidence,last20_absolute_improvement,last20_relative_improvement,best_epoch,selection_loss,validation_relative_regret,validation_edge_f1,validation_exact_match,q_boundary_pct,loss_values_finite,logged_runtime_seconds,h20_best_epoch,h20_best_relative_regret,h50_best_epoch,h50_best_relative_regret,h100_best_epoch,h100_best_relative_regret,h20_to_h100_absolute_improvement,best_q_at_max,best_q_at_min,best_q_max,best_q_min,best_relative_regret_before_last20,boundary_below_threshold,checkpoint_path,configured_epochs,early_stop_min_delta,early_stop_patience,early_stop_stale_evaluations,h100_best_edge_f1,h100_best_exact_match,h100_observed_through_epoch,h100_reached,h100_status,h20_best_edge_f1,h20_best_exact_match,h20_observed_through_epoch,h20_reached,h20_status,h20_to_h100_relative_improvement,h50_best_edge_f1,h50_best_exact_match,h50_observed_through_epoch,h50_reached,h50_status,last20_start_epoch,last_epoch,log_path,multipliers_path,nonfinite_loss_count,nonfinite_loss_fields,q_boundary_count,runner_result_path,runner_result_read_error,runner_status,runtime_seconds,runtime_source,runtime_within_limit,terminal_prefix_best_relative_regret,unparseable_loss_count,unparseable_loss_fields,validation_edge_jaccard,validation_events,validation_mean_regret,validation_variant,weights_path
baseline_full_q1,controls,all,0.0001,100000,True,,True,1,False,,no_early_stop_retain_optimization_budget_caveat,,,0,0.093522778359,0.09352278,0.591144,0.337542,0.0,True,8.629926,0,0.09352278,0,0.09352278,0,0.09352278,0.0,0,0,1.0,1.0,,True,/tmp/edge-weight-convergence-study/runs/controls/baseline_full_q1/model_checkpoint.json,1,,,,0.591144,0.337542,0,False,trajectory_ended_before_horizon,0.591144,0.337542,0,False,trajectory_ended_before_horizon,0.0,0.591144,0.337542,0,False,trajectory_ended_before_horizon,0,0,/tmp/edge-weight-convergence-study/runs/controls/baseline_full_q1/model_training.log,/tmp/edge-weight-convergence-study/runs/controls/baseline_full_q1/model_best_multipliers.json,0,,0,/tmp/edge-weight-convergence-study/runs/controls/baseline_full_q1/runner_result.json,,ok,9.78813178999917,runner_result.wall_seconds,True,0.09352278,0,,0.521204,1,652235.088559,time_dev_20090513_excl_previous,/tmp/edge-weight-convergence-study/runs/controls/baseline_full_q1/model_best_weights.json
control_full_eta1e4_t20,controls,all,0.0001,100000,True,,True,20,False,,no_early_stop_retain_optimization_budget_caveat,,,19,0.068263500935,0.0682635,0.656391,0.346694,0.0,True,60.20603499999999,19,0.0682635,19,0.0682635,19,0.0682635,0.0,0,0,1.431332,0.173515,,True,/tmp/edge-weight-convergence-study/runs/controls/control_full_eta1e4_t20/model_checkpoint.json,20,,,,0.656391,0.346694,19,False,trajectory_ended_before_horizon,0.656391,0.346694,19,True,reached,0.0,0.656391,0.346694,19,False,trajectory_ended_before_horizon,0,19,/tmp/edge-weight-convergence-study/runs/controls/control_full_eta1e4_t20/model_training.log,/tmp/edge-weight-convergence-study/runs/controls/control_full_eta1e4_t20/model_best_multipliers.json,0,,0,/tmp/edge-weight-convergence-study/runs/controls/control_full_eta1e4_t20/runner_result.json,,ok,61.43004910399941,runner_result.wall_seconds,True,0.0682635,0,,0.57909,5,432332.446614,time_dev_20090513_excl_previous,/tmp/edge-weight-convergence-study/runs/controls/control_full_eta1e4_t20/model_best_weights.json
conv_10pct_eta1e3,convergence_10pct,scale_10pct_seed42,0.001,100000,True,,True,20,True,19,strong_early_stop_after_declared_patience,,,0,0.093522778359,0.09352278,0.591144,0.337542,0.0,True,28.819019,0,0.09352278,0,0.09352278,0,0.09352278,0.0,0,0,1.0,1.0,,True,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta1e3/model_checkpoint.json,100,1e-05,4,4,0.591144,0.337542,19,False,early_stopped_before_horizon,0.591144,0.337542,19,True,reached,0.0,0.591144,0.337542,19,False,early_stopped_before_horizon,0,19,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta1e3/model_training.log,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta1e3/model_best_multipliers.json,0,,0,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta1e3/runner_result.json,,ok,30.515056316999107,runner_result.wall_seconds,True,0.09352278,0,,0.521204,5,652235.088559,time_dev_20090513_excl_previous,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta1e3/model_best_weights.json
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,True,,True,100,False,,no_early_stop_retain_optimization_budget_caveat,0.00034676999999999625,0.005363977680952425,99,0.064301146471,0.06430115,0.676683,0.369115,0.002771772271190199,True,113.93714800000001,19,0.06920375,49,0.06568588,99,0.06430115,0.004902599999999993,0,2,1.54668,0.1,0.06464792,True,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta1e4/model_checkpoint.json,100,,,,0.676683,0.369115,99,True,reached,0.655735,0.346191,19,True,reached,0.0708429817748315,0.671061,0.362589,49,True,reached,80,99,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta1e4/model_training.log,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta1e4/model_best_multipliers.json,0,,2,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta1e4/runner_result.json,,ok,115.52977313500014,runner_result.wall_seconds,True,0.06430115,0,,0.602539,21,385472.891036,time_dev_20090513_excl_previous,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta1e4/model_best_weights.json
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,True,,True,100,False,,no_early_stop_retain_optimization_budget_caveat,0.0010839299999999968,0.01655073279895236,89,0.064407433682,0.06440743,0.675646,0.362303,0.016630633627141195,True,114.016997,19,0.07797498,49,0.0689969,89,0.06440743,0.013567549999999998,0,12,1.962551,0.1,0.06549136,True,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta3e4/model_checkpoint.json,100,,,,0.675646,0.362303,99,True,reached,0.651443,0.333891,19,True,reached,0.1739987621670438,0.665052,0.347926,49,True,reached,80,99,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta3e4/model_training.log,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta3e4/model_best_multipliers.json,0,,12,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta3e4/runner_result.json,,ok,115.50865744099974,runner_result.wall_seconds,True,0.06440743,0,,0.5998,21,348008.399332,time_dev_20090513_excl_previous,/tmp/edge-weight-convergence-study/runs/convergence_10pct/conv_10pct_eta3e4/model_best_weights.json
conv_full_eta1e3,convergence_full,all,0.001,100000,True,,True,20,True,19,strong_early_stop_after_declared_patience,,,0,0.093522778359,0.09352278,0.591144,0.337542,0.0,True,58.976468000000004,0,0.09352278,0,0.09352278,0,0.09352278,0.0,0,0,1.0,1.0,,True,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta1e3/model_checkpoint.json,100,1e-05,4,4,0.591144,0.337542,19,False,early_stopped_before_horizon,0.591144,0.337542,19,True,reached,0.0,0.591144,0.337542,19,False,early_stopped_before_horizon,0,19,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta1e3/model_training.log,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta1e3/model_best_multipliers.json,0,,0,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta1e3/runner_result.json,,ok,60.11203542899966,runner_result.wall_seconds,True,0.09352278,0,,0.521204,5,652235.088559,time_dev_20090513_excl_previous,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta1e3/model_best_weights.json
conv_full_eta1e4,convergence_full,all,0.0001,100000,True,,True,100,False,,no_early_stop_retain_optimization_budget_caveat,0.00047234000000000165,0.007374860864570287,99,0.063574971554,0.06357497,0.677356,0.367921,0.002771772271190199,True,272.250066,19,0.0682635,49,0.06509124,99,0.06357497,0.00468853000000001,0,2,1.589377,0.1,0.06404731,True,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta1e4/model_checkpoint.json,100,,,,0.677356,0.367921,99,True,reached,0.656391,0.346694,19,True,reached,0.06868282464274478,0.670798,0.365147,49,True,reached,80,99,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta1e4/model_training.log,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta1e4/model_best_multipliers.json,0,,2,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta1e4/runner_result.json,,ok,273.47800436800026,runner_result.wall_seconds,True,0.06357497,0,,0.602899,21,381158.556842,time_dev_20090513_excl_previous,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta1e4/model_best_weights.json
conv_full_eta3e4,convergence_full,all,0.0003,100000,True,,True,100,False,,no_early_stop_retain_optimization_budget_caveat,0.00036189999999999833,0.0056683277994435954,99,0.063484090822,0.06348409,0.681488,0.371068,0.009701202949165696,True,271.130073,19,0.07961152,49,0.06765661,99,0.06348409,0.016127429999999998,0,7,2.019888,0.1,0.06384599,True,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta3e4/model_checkpoint.json,100,,,,0.681488,0.371068,99,True,reached,0.650105,0.331752,19,True,reached,0.20257658690601554,0.668256,0.357939,49,True,reached,80,99,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta3e4/model_training.log,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta3e4/model_best_multipliers.json,0,,7,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta3e4/runner_result.json,,ok,272.351221212999,runner_result.wall_seconds,True,0.06348409,0,,0.606961,21,339523.398169,time_dev_20090513_excl_previous,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta3e4/model_best_weights.json
erase_10pct_eta1e4,loop_erasure_10pct,scale_10pct_seed42,0.0001,100000,True,,True,100,False,,no_early_stop_retain_optimization_budget_caveat,0.0004155299999999973,0.00643783007958465,99,0.064129512907,0.06412951,0.676313,0.369045,0.002771772271190199,True,65.632265,19,0.06897679,49,0.06562211,99,0.06412951,0.0048472799999999955,0,2,1.647139,0.1,0.06454504,True,/tmp/edge-weight-convergence-study/runs/loop_erasure_10pct/erase_10pct_eta1e4/model_checkpoint.json,100,,,,0.676313,0.369045,99,True,reached,0.658799,0.349957,19,True,reached,0.07027407335134028,0.674918,0.368813,49,True,reached,80,99,/tmp/edge-weight-convergence-study/runs/loop_erasure_10pct/erase_10pct_eta1e4/model_training.log,/tmp/edge-weight-convergence-study/runs/loop_erasure_10pct/erase_10pct_eta1e4/model_best_multipliers.json,0,,2,/tmp/edge-weight-convergence-study/runs/loop_erasure_10pct/erase_10pct_eta1e4/runner_result.json,,ok,66.44760971700089,runner_result.wall_seconds,True,0.06412951,0,,0.601925,21,375308.200538,time_dev_20090513_excl_previous,/tmp/edge-weight-convergence-study/runs/loop_erasure_10pct/erase_10pct_eta1e4/model_best_weights.json
erase_full_eta3e4,loop_erasure_full,all,0.0003,100000,True,,True,100,False,,no_early_stop_retain_optimization_budget_caveat,0.0009803599999999996,0.014889394199885664,99,0.064862484353,0.06486248,0.681446,0.368813,0.02356006430511669,True,343.551374,19,0.07807904,49,0.06814912,99,0.06486248,0.013216560000000002,0,17,2.007811,0.1,0.06584284,True,/tmp/edge-weight-convergence-study/runs/loop_erasure_full/erase_full_eta3e4/model_checkpoint.json,100,,,,0.681446,0.368813,99,True,reached,0.651861,0.335914,19,True,reached,0.16927154842067738,0.671724,0.358645,49,True,reached,80,99,/tmp/edge-weight-convergence-study/runs/loop_erasure_full/erase_full_eta3e4/model_training.log,/tmp/edge-weight-convergence-study/runs/loop_erasure_full/erase_full_eta3e4/model_best_multipliers.json,0,,17,/tmp/edge-weight-convergence-study/runs/loop_erasure_full/erase_full_eta3e4/runner_result.json,,ok,344.9551546139992,runner_result.wall_seconds,True,0.06486248,0,,0.606746,21,325224.262917,time_dev_20090513_excl_previous,/tmp/edge-weight-convergence-study/runs/loop_erasure_full/erase_full_eta3e4/model_best_weights.json
